release_date,time,actual,forcast,previous,year_,month_
"Dec 01, 1992 (Nov)",13:30,0.30%, ,0.40%,1992,11
"Nov 01, 1992 (Oct)",13:30,0.40%, ,0.20%,1992,10
"Oct 01, 1992 (Sep)",13:30,0.20%, ,0.20%,1992,9
"Sep 01, 1992 (Aug)",13:30,0.20%, ,0.30%,1992,8
"Aug 01, 1992 (Jul)",13:30,0.30%, ,0.30%,1992,7
"Jul 01, 1992 (Jun)",13:30,0.30%, ,0.20%,1992,6
"Jun 01, 1992 (May)",13:30,0.20%, ,0.20%,1992,5
"May 01, 1992 (Apr)",13:30,0.20%, ,0.40%,1992,4
"Apr 01, 1992 (Mar)",13:30,0.40%, ,0.20%,1992,3
"Mar 01, 1992 (Feb)",13:30,0.20%, ,0.10%,1992,2
